corpus,model,tier,query_format,n_docs,B,delta_full,correct,p_correct,ci_lo,ci_hi
er_reason,ClinicalBERT,2,keyword,20,500,0.14947619047619043,448,0.896,0.8661551236448682,0.9198061784786563
er_reason,ClinicalBERT,2,keyword,30,500,0.14947619047619043,493,0.986,0.9713865738597492,0.9932022969282127
er_reason,ClinicalBERT,2,keyword,50,500,0.14947619047619043,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,ClinicalBERT,2,keyword,75,500,0.14947619047619043,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,E5-Mistral-7B,2,nl,10,500,0.050357142857142836,416,0.832,0.7967249779380424,0.8622122753574376
er_reason,E5-Mistral-7B,2,nl,20,500,0.050357142857142836,474,0.948,0.9248983617059371,0.9642699800903735
er_reason,E5-Mistral-7B,2,nl,30,500,0.050357142857142836,477,0.954,0.9319217297737272,0.9691551166002124
er_reason,E5-Mistral-7B,2,nl,50,500,0.050357142857142836,480,0.96,0.9390259449029252,0.9739594060486436
er_reason,E5-Mistral-7B,2,nl,75,500,0.050357142857142836,486,0.972,0.9535531794154484,0.9832491806913788
er_reason,E5-Mistral-7B,2,keyword,10,500,0.08774603174603174,338,0.676,0.6337707190597581,0.7155454152173639
er_reason,E5-Mistral-7B,2,keyword,20,500,0.08774603174603174,460,0.92,0.8928931229079627,0.9407021975260784
er_reason,E5-Mistral-7B,2,keyword,30,500,0.08774603174603174,487,0.974,0.9560280989556288,0.9847437626770749
er_reason,E5-Mistral-7B,2,keyword,50,500,0.08774603174603174,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,E5-Mistral-7B,2,keyword,75,500,0.08774603174603174,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,E5-Mistral-7B-ablation,2,nl,10,500,0.173,299,0.598,0.5544335612927798,0.6400720134751632
er_reason,E5-Mistral-7B-ablation,2,nl,20,500,0.173,381,0.762,0.7227631109081946,0.7972415889816121
er_reason,E5-Mistral-7B-ablation,2,nl,30,500,0.173,410,0.82,0.7839246244600844,0.8511956196801373
er_reason,E5-Mistral-7B-ablation,2,nl,50,500,0.173,443,0.886,0.8551502882823536,0.9109635062117889
er_reason,E5-Mistral-7B-ablation,2,nl,75,500,0.173,480,0.96,0.9390259449029252,0.9739594060486436
er_reason,E5-Mistral-7B-ablation,2,keyword,10,500,0.17461904761904767,309,0.618,0.5746644739023564,0.6595361161243504
er_reason,E5-Mistral-7B-ablation,2,keyword,20,500,0.17461904761904767,361,0.722,0.6811506232701695,0.7594640461021093
er_reason,E5-Mistral-7B-ablation,2,keyword,30,500,0.17461904761904767,382,0.764,0.7248548911970089,0.7991193102186741
er_reason,E5-Mistral-7B-ablation,2,keyword,50,500,0.17461904761904767,448,0.896,0.8661551236448682,0.9198061784786563
er_reason,E5-Mistral-7B-ablation,2,keyword,75,500,0.17461904761904767,499,0.998,0.9887590072528046,0.9996468726904154
er_reason,GTE-base,1,nl,10,500,-0.09252777777777788,135,0.27,0.23294789408557773,0.3105594304386379
er_reason,GTE-base,1,nl,20,500,-0.09252777777777788,301,0.602,0.5584738043043082,0.6439707735153876
er_reason,GTE-base,1,nl,30,500,-0.09252777777777788,403,0.806,0.7690596512561212,0.838274082202966
er_reason,GTE-base,1,nl,50,500,-0.09252777777777788,484,0.968,0.9486546984063574,0.980208658648717
er_reason,GTE-base,1,nl,75,500,-0.09252777777777788,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,GTE-base,1,keyword,10,500,-0.08634523809523809,173,0.346,0.3056205162688996,0.3887278662386186
er_reason,GTE-base,1,keyword,20,500,-0.08634523809523809,322,0.644,0.6010779467373235,0.6847261631257764
er_reason,GTE-base,1,keyword,30,500,-0.08634523809523809,364,0.728,0.6873666188831685,0.7651565550667395
er_reason,GTE-base,1,keyword,50,500,-0.08634523809523809,425,0.85,0.8160382472597502,0.8786245197686174
er_reason,GTE-base,1,keyword,75,500,-0.08634523809523809,494,0.988,0.9740692922810136,0.9944890800328247
er_reason,MedCPT,1,nl,10,500,-0.15522222222222215,151,0.302,0.26339087332996447,0.34362847560827325
