Corpus,Configuration,Nominal tier,Query format,Documents sampled,Draws,Full-sample dMRR@10,Draws with correct sign,Agreement rate,Wilson lower,Wilson upper,reference sign,contributes to
er_reason,BERT-base-uncased,2,keyword,10,500,0.1014,402,0.804,0.7669,0.8364,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,20,500,0.1014,468,0.936,0.911,0.9543,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,30,500,0.1014,488,0.976,0.9585,0.9862,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,50,500,0.1014,499,0.998,0.9888,0.9996,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,75,500,0.1014,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,10,500,0.0866,380,0.76,0.7207,0.7954,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,20,500,0.0866,456,0.912,0.8839,0.9338,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,30,500,0.0866,475,0.95,0.9272,0.9659,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,50,500,0.0866,493,0.986,0.9714,0.9932,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,75,500,0.0866,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BioBERT,2,keyword,10,500,0.1806,399,0.798,0.7606,0.8309,positive,sensitivity
er_reason,BioBERT,2,keyword,20,500,0.1806,484,0.968,0.9487,0.9802,positive,sensitivity
er_reason,BioBERT,2,keyword,30,500,0.1806,498,0.996,0.9855,0.9989,positive,sensitivity
er_reason,BioBERT,2,keyword,50,500,0.1806,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BioBERT,2,keyword,75,500,0.1806,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BioBERT,2,nl,10,500,0.1708,400,0.8,0.7627,0.8327,positive,sensitivity
er_reason,BioBERT,2,nl,20,500,0.1708,463,0.926,0.8997,0.9458,positive,sensitivity
er_reason,BioBERT,2,nl,30,500,0.1708,496,0.992,0.9796,0.9969,positive,sensitivity
er_reason,BioBERT,2,nl,50,500,0.1708,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BioBERT,2,nl,75,500,0.1708,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BioMistral-7B,2,keyword,10,500,0.1113,287,0.574,0.5303,0.6166,positive,sensitivity
er_reason,BioMistral-7B,2,keyword,20,500,0.1113,382,0.764,0.7249,0.7991,positive,sensitivity
er_reason,BioMistral-7B,2,keyword,30,500,0.1113,446,0.892,0.8617,0.9163,positive,sensitivity
er_reason,BioMistral-7B,2,keyword,50,500,0.1113,489,0.978,0.961,0.9877,positive,sensitivity
er_reason,BioMistral-7B,2,keyword,75,500,0.1113,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BioMistral-7B,2,nl,10,500,0.2141,300,0.6,0.5565,0.642,positive,sensitivity
er_reason,BioMistral-7B,2,nl,20,500,0.2141,402,0.804,0.7669,0.8364,positive,sensitivity
er_reason,BioMistral-7B,2,nl,30,500,0.2141,474,0.948,0.9249,0.9643,positive,sensitivity
er_reason,BioMistral-7B,2,nl,50,500,0.2141,499,0.998,0.9888,0.9996,positive,sensitivity
er_reason,BioMistral-7B,2,nl,75,500,0.2141,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,ClinicalBERT,2,keyword,10,500,0.1495,347,0.694,0.6523,0.7328,positive,sensitivity
er_reason,ClinicalBERT,2,keyword,20,500,0.1495,448,0.896,0.8662,0.9198,positive,sensitivity
er_reason,ClinicalBERT,2,keyword,30,500,0.1495,493,0.986,0.9714,0.9932,positive,sensitivity
er_reason,ClinicalBERT,2,keyword,50,500,0.1495,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,ClinicalBERT,2,keyword,75,500,0.1495,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,ClinicalBERT,2,nl,10,500,0.0869,368,0.736,0.6957,0.7727,positive,sensitivity
er_reason,ClinicalBERT,2,nl,20,500,0.0869,452,0.904,0.875,0.9268,positive,sensitivity
er_reason,ClinicalBERT,2,nl,30,500,0.0869,489,0.978,0.961,0.9877,positive,sensitivity
