epsilon,n_benefited,n_harmed,d_ben,d_harm,p_star
1e-07,4,9,0.04475,-0.104069,0.6993
1e-06,6,7,0.058458,-0.083081,0.587
1e-05,6,7,0.075745,-0.076593,0.5028
1e-04,6,7,0.098962,-0.063937,0.3925
1e-03,7,6,0.073527,-0.034016,0.3163
1e-02,5,8,0.018782,-0.014103,0.4288
